UAI,Etablissement,Référence GALAXIE,N° dans le SI local,Article,Corps,Chaire,Section,Section2,Section3,Date de prise de fonction,Date ouverture cand,Date clôture cand,Profil,Localisation,Etat de vacance
0290346U,UNIV. DE BRETAGNE OCCIDENTALE (BREST),4412 *,6700MCF0646,26-I-1,MCF,Non,67,68,,01/09/2021,25/02/2021,30/03/2021,"Généticien, spécialisé en génétique/génomique des populations et de leurs interactions avec l¿échelle individuelle pour étudier les forces évolutives gouvernant la diversité des populations marines.",BREST Enseignement / PLOUZANE Recherche,
0350936C,UNIVERSITE RENNES 1,4559 *,MCF9503,26-I-1,MCF,Non,67,,,01/09/2021,25/02/2021,30/03/2021,"Sciences Végétales, Phylogénomique et génomique évolutive végétales",RENNES,
0597065J,UNIVERSITE DE LILLE,238 *,,26-I-1,MCF,Non,67,,,01/09/2021,25/02/2021,30/03/2021,Ecologie évolutive des interactions plantes-pollinisateurs,VILLENEUVE D'ASCQ,
0755890V,UNIVERSITE SORBONNE UNIVERSITE,295,67MCF1262,26-I-1,MCF,Non,67,,,01/09/2021,29/01/2021,05/03/2021,Écologie et évolution,Campus Pierre et Marie Curie,
0840685N,UNIVERSITE D'AVIGNON,4184 *,,26-I-1,MCF,Non,67,68,,01/09/2021,25/02/2021,30/03/2021,Génétique des populations appliquées à l'agronomie et à la restauration écologique,Avignon,
0912408Y,UNIVERSITE PARIS SACLAY,98 *,67MCF488,26-I-1,MCF,Non,67,,,01/09/2021,25/02/2021,30/03/2021,Génétique des populations et modélisation des plantes cultivées pour l'agroécologie,ORSAY,
0141408E,UNIVERSITE DE CAEN,4514 *,,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,"Biologie des organismes, physiologie et nutrition des espèces exploitées par la pêche et l¿aquaculture.",CAEN,
0311086M,UNIV. TOULOUSE 3 (IUT),4682 *,1777,26-I-1,MCF,Non,68,64,,01/09/2021,25/02/2021,30/03/2021,Agronomie ¿ Biotechnologie Environnementale,AUCH,
0311381H,INP DE TOULOUSE,4141 *,0077,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,Entomologie pour la protection agro-écologique des productions végétales,Toulouse,
0311381H,INP DE TOULOUSE,4142 *,0035,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,Télédétection pour l'agro-écologie numérique,Auzeville-Tolosane (Toulouse),
0311384L,UNIVERSITE TOULOUSE 3,4676 *,,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,Biodiversité végétale,UNIVERSITE TOULOUSE 3,
0542493S,UNIVERSITE DE LORRAINE,1344 *,68MCF0101,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,Pathologie végétale et écologie microbienne des sols,NANCY,
0542493S,UNIVERSITE DE LORRAINE,1345 *,68MCF0185,26-I-1,MCF,Non,68,,,01/09/2021,25/02/2021,30/03/2021,"Sciences du lait, technologie, biochimie, microbiologie laitière",NANCY,S
9740478B,UNIVERSITE DE LA REUNION,4311,,26-I-1,MCF,Non,68,64,,01/09/2021,26/02/2021,30/03/2021,"Biochimie des produits alimentaires, formulation et évaluation sensorielle des aliments",CAMPUS DE TERRE SAINTE-SAINT PIERRE,
0141408E,UNIVERSITE DE CAEN,4515 *,,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Biologie des comportements et neurosciences fonctionnelles des invertébrés marins.La personne recrutée intégrera l¿équipe pédagogique d¿éthologie ¿ neurosciences comportementales de l¿UFR Sciences.,CAEN,
0450855K,UNIVERSITE D'ORLEANS,4468 *,MCF0351,26-I-1,MCF,Non,69,68,,01/09/2021,25/02/2021,30/03/2021,NEUROBIOLOGIE,UFR ST - ORLEANS,
0597065J,UNIVERSITE DE LILLE,239 *,,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Génétique fonctionnelle de la maladie d'Alzheimer,LOOS,
0597065J,UNIVERSITE DE LILLE,248 *,,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Neuropsychopharmacologie,LOOS,
0673021V,UNIVERSITE DE STRASBOURG,4716 *,,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Neurosciences et Neuroimagerie ; Orthophonie,Strasbourg,
0691774D,UNIVERSITE LYON 1 (CLAUDE BERNARD),4589,0026,26-I-1,MCF,Non,69,74,,01/10/2021,24/02/2021,26/03/2021,Processus mentaux et apprentissages,Villeurbanne,S
0755976N,UNIVERSITE DE PARIS,106,257,26-I-1,MCF,Non,69,,,01/09/2021,22/01/2021,26/02/2021,Sciences cognitives,Saint-Germain-des-Pres,
0912408Y,UNIVERSITE PARIS SACLAY,99 *,69MCF954,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Neurophysiologie sensorielle et évolution,ORSAY,
0931238R,UNIVERSITE PARIS 13,4411 *,0202,26-I-1,MCF,Non,69,,,01/09/2021,25/02/2021,30/03/2021,Éthologie,Villetaneuse,
0062205P,UNIVERSITE COTE D'AZUR,59 *,70 MCF 681,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Evaluation et approche par compétences,Nice,
0134009M,UNIVERSITE AIX-MARSEILLE,947 *,0901,26-I-1,MCF,Non,70,74,,01/09/2021,25/02/2021,30/03/2021,Éducation et formation des enseignants en Éducation physique et sportive,AIX EN PROVENCE,
0134009M,UNIVERSITE AIX-MARSEILLE,948 *,0723,26-I-1,MCF,Non,70,7,,01/09/2021,25/02/2021,30/03/2021,Éducation et formation des enseignants en langues vivantes,AIX EN PROVENCE,
0141408E,UNIVERSITE DE CAEN,4502 *,,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Éducation inclusive et intervention sociale. Le candidat devra proposer des enseignements dans les différentes années de la licence sciences de l¿éducation.,CAEN,
0212218X,ESPE ACADEMIE DIJON,4570 *,E000001073,26-I-1,MCF,Non,70,19,,01/09/2021,25/02/2021,30/03/2021,"sociologie de l'éducation, parcours d'éducation, de formation et d'insertion, inégalités sociales",DIJON,
0290346U,UNIV. DE BRETAGNE OCCIDENTALE (BREST),4414 *,7000MCF1234,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Sciences de l¿éducation et de la formation,BREST,
0311383K,UNIVERSITE TOULOUSE 2,4579,,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,"Pensée professionnelle, professionnalisation et formation d'adultes",TOULOUSE,
0331420P,UNIV. BORDEAUX MONTAIGNE (IUT),4322 *,,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,"Sciences de l'éducation - Animation socioculturelle, jeu",BORDEAUX,
0333357V,IUT DE BORDEAUX,560 *,1522,33,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Sciences de l'éducation,Dept CS GU,S
0370800U,UNIVERSITE DE TOURS,4517 *,1196,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,"Accompagnement éducatif, professionnalisation et formation ouverte à distance",TOURS,
0442764R,ESPE ACADEMIE NANTES,4631 *,MCF0151,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Didactique des sciences physiques et chimiques,NANTES,
0511296G,UNIVERSITE DE REIMS,4477 *,,26-I-1,MCF,Non,70,28,,01/09/2021,25/02/2021,30/03/2021,"Enseignements 1er et 2nd degrés: préparation professorat des écoles, sciences option physique chimie.Recherche: épistémologie, didactiques et interdisciplinarité.",TROYES,
0511296G,UNIVERSITE DE REIMS,4479 *,,26-I-1,MCF,Non,70,74,,01/09/2021,25/02/2021,30/03/2021,"Enseignements master MEEF 1er-2nd degrés parcours EPS. Recherche: éducation et formation STAPS, Sciences du Sport ou en Sciences du mouvement.",REIMS,
0597065J,UNIVERSITE DE LILLE,210 *,,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,Formation des adultes,VILLENEUVE D'ASCQ,
0597065J,UNIVERSITE DE LILLE,250 *,,26-I-1,MCF,Non,70,,,01/09/2021,25/02/2021,30/03/2021,"Transformations des politiques d'éducation et de formation : fondements, processus et effets",VALENCIENNES,
