"Annee";"SectionCNU.ID";"QualificationDossiers.MCF";"QualificationQualifies.MCF";"PostesPublies.MCF";"Candidatures.MCF";"Candidats.MCF";"PostesPourvus.MCF";"Candidatures.MCF.F";"Candidatures.MCF.H";"Candidats.MCF.F";"Candidats.MCF.H";"Recrutes.MCF.F";"Recrutes.MCF.H"
2006;73;21;8;1;NA;NA;1;NA;NA;NA;NA;NA;NA
2006;74;211;84;34;NA;NA;31;NA;NA;NA;NA;NA;NA
2006;76;11;7;2;NA;NA;1;NA;NA;NA;NA;NA;NA
2006;77;4;2;1;NA;NA;0;NA;NA;NA;NA;NA;NA
2006;85;187;108;23;NA;NA;22;NA;NA;NA;NA;NA;NA
2006;86;180;105;24;NA;NA;24;NA;NA;NA;NA;NA;NA
2006;87;332;179;28;NA;NA;27;NA;NA;NA;NA;NA;NA
2007;1;273;89;72;NA;NA;66;NA;NA;NA;NA;NA;NA
2007;2;217;48;52;NA;NA;48;NA;NA;NA;NA;NA;NA
2007;3;41;19;12;NA;NA;12;NA;NA;NA;NA;NA;NA
2007;4;216;98;23;NA;NA;22;NA;NA;NA;NA;NA;NA
2007;5;263;123;73;NA;NA;68;NA;NA;NA;NA;NA;NA
2007;6;310;144;134;NA;NA;115;NA;NA;NA;NA;NA;NA
2007;7;226;158;42;NA;NA;40;NA;NA;NA;NA;NA;NA
2007;8;74;55;11;NA;NA;10;NA;NA;NA;NA;NA;NA
2007;9;289;144;36;NA;NA;32;NA;NA;NA;NA;NA;NA
2007;10;132;38;10;NA;NA;10;NA;NA;NA;NA;NA;NA
2007;11;174;125;88;NA;NA;83;NA;NA;NA;NA;NA;NA
2007;12;61;39;26;NA;NA;26;NA;NA;NA;NA;NA;NA
2007;13;65;45;8;NA;NA;6;NA;NA;NA;NA;NA;NA
2007;14;152;85;46;NA;NA;44;NA;NA;NA;NA;NA;NA
2007;15;93;52;31;NA;NA;25;NA;NA;NA;NA;NA;NA
2007;16;291;124;61;NA;NA;54;NA;NA;NA;NA;NA;NA
2007;17;179;101;25;NA;NA;20;NA;NA;NA;NA;NA;NA
2007;18;283;170;34;NA;NA;32;NA;NA;NA;NA;NA;NA
2007;19;394;220;45;NA;NA;44;NA;NA;NA;NA;NA;NA
2007;20;212;123;11;NA;NA;11;NA;NA;NA;NA;NA;NA
2007;21;221;144;41;NA;NA;40;NA;NA;NA;NA;NA;NA
